month,total
April,1572120.2799999793
August,1671513.0700000008
December,863566.8500000007
February,1273189.5800000136
January,1244490.380000015
July,1643699.6500000048
June,1525640.1499999976
March,1587175.4100000046
May,1735972.7699999888
November,1179143.7699999986
October,826121.209999998
September,720920.1200000016
